Step_ID,Track_ID,Ensemble_Name,Ensemble_Member,Run_Date,Valid_Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,Centroid_X,Centroid_Y,Storm_Motion_U,Storm_Motion_V,REFL_1KM_AGL_mean,REFL_1KM_AGL_max,REFL_1KM_AGL_min,U10_mean,U10_max,U10_min,V10_mean,V10_max,V10_min,MLCAPE-potential_mean,MLCAPE-potential_max,MLCAPE-potential_min,area,eccentricity,major_axis_length,minor_axis_length,orientation,Matched,Max_Hail_Size,Num_Matches,Shape,Location,Scale
d01_REFL_COM_20110427-0000_12_12_000_00,d01_REFL_COM_20110427-0000_12_12_000,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-92.35332,34.52075,787430.20647,-384071.31481,0.00000,0.00000,37.47559,57.90617,0.00000,-3.05017,5.70074,-8.85776,4.18163,11.69726,-1.67349,11.13555,122.86275,0.00000,903,0.46466,37.50268,33.20813,0.61862,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_001_00,d01_REFL_COM_20110427-0000_12_12_001,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-91.25200,34.16598,891569.58240,-412971.66735,0.00000,0.00000,35.39472,46.82550,0.00000,-4.91903,-1.35373,-6.64792,5.45012,8.42497,2.68365,4.14339,59.96661,0.00000,125,0.92266,25.36713,9.78178,0.16103,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_002_00,d01_REFL_COM_20110427-0000_12_12_002,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-89.60752,34.82071,1032174.95513,-323562.23347,0.00000,0.00000,33.68033,44.40653,0.00000,-4.49256,-1.40378,-8.40267,4.61672,7.20701,1.23641,1.41663,15.32963,0.00000,388,0.52889,42.59606,36.15082,-1.09698,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_15_003_00,d01_REFL_COM_20110427-0000_12_15_003,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-95.50347,35.05618,497421.78460,-347278.25912,0.00000,0.00000,20.80041,38.16465,-33.22005,-0.56090,1.10096,-2.57093,-2.27220,0.86545,-6.15923,591.21674,763.85535,509.72791,43,0.93174,12.36053,4.48836,0.93903,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_15_003_01,d01_REFL_COM_20110427-0000_12_15_003,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 13:00:00+00:00,13,13,2,-95.05666,35.43197,535083.18511,-303260.25904,33000.00000,33000.00000,39.09999,51.76377,0.32471,-0.26525,7.00502,-6.02383,-2.76004,0.84268,-7.02161,594.49237,992.77271,224.39294,183,0.81184,20.58148,12.01717,0.72156,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_15_003_02,d01_REFL_COM_20110427-0000_12_15_003,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 14:00:00+00:00,14,14,3,-94.55195,35.74681,577979.95934,-265440.80383,36000.00000,27000.00000,39.92943,56.25716,-7.65371,-1.27791,10.51040,-10.64456,-4.00252,3.19269,-11.32247,569.85327,1301.31116,0.00000,536,0.75669,35.86080,23.44476,0.71709,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_15_003_03,d01_REFL_COM_20110427-0000_12_15_003,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 15:00:00+00:00,15,15,4,-94.23848,35.99336,604000.82358,-236224.05046,33000.00000,30000.00000,39.56812,57.22135,0.00000,0.25718,13.11777,-10.05893,-4.86308,4.63639,-13.57803,158.42682,770.00714,0.00000,619,0.66638,36.55169,27.25346,0.54649,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_004_00,d01_REFL_COM_20110427-0000_12_12_004,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-86.29977,36.26550,1303793.97057,-122896.66486,0.00000,0.00000,34.75441,43.78597,0.00000,1.50773,5.40806,-2.61742,2.33309,5.80792,0.26930,120.67653,584.54498,0.00000,571,0.45571,38.02067,33.84335,-0.38284,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_005_00,d01_REFL_COM_20110427-0000_12_12_005,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-95.42120,35.33353,502974.74810,-316207.15536,0.00000,0.00000,13.36689,24.84350,-4.36371,-1.62998,-0.41359,-2.55526,-5.46144,-3.02199,-6.74236,423.30435,583.34766,221.34637,24,0.34778,5.71061,5.35413,-0.78540,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_006_00,d01_REFL_COM_20110427-0000_12_12_006,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-96.17874,35.60140,433173.77747,-290541.56633,0.00000,0.00000,34.66520,52.75183,0.00000,-1.92721,0.19660,-2.87992,-7.52973,-5.23188,-9.99876,0.00000,0.00000,0.00000,48,0.95630,17.62623,5.15353,0.91761,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_15_007_00,d01_REFL_COM_20110427-0000_12_15_007,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-91.77460,38.70379,793093.33533,80857.12925,0.00000,0.00000,36.48763,45.43849,18.99463,0.83494,7.00506,-4.33616,-4.46987,-0.34976,-9.22106,0.00000,0.00000,0.00000,218,0.77611,24.50748,15.45432,0.98174,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_15_007_01,d01_REFL_COM_20110427-0000_12_15_007,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 13:00:00+00:00,13,13,2,-91.44984,38.75002,820375.88716,88816.05401,33000.00000,15000.00000,37.24812,52.29700,22.94565,0.56761,5.93125,-3.19837,-4.30242,-0.47568,-7.60543,0.00000,0.00000,0.00000,334,0.86879,34.22786,16.94894,0.86104,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_15_007_02,d01_REFL_COM_20110427-0000_12_15_007,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 14:00:00+00:00,14,14,3,-91.11726,38.86160,847496.88475,104111.90605,33000.00000,3000.00000,36.05629,43.46775,25.70365,0.05520,3.42850,-3.99770,-3.43588,0.03572,-5.88523,0.24848,7.52290,0.00000,477,0.69988,34.62078,24.72815,1.05203,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_15_007_03,d01_REFL_COM_20110427-0000_12_15_007,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 15:00:00+00:00,15,15,4,-90.52075,39.00217,896643.94523,125255.16387,39000.00000,12000.00000,36.49345,45.10030,24.06635,0.34637,6.36018,-5.32723,-3.35557,-0.24645,-6.11952,0.05132,5.85918,0.00000,477,0.66679,35.28353,26.29477,-1.29996,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_13_008_00,d01_REFL_COM_20110427-0000_12_13_008,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-84.49154,42.16158,1344827.11829,544828.78326,0.00000,0.00000,39.16672,51.79464,26.96525,-3.87648,2.82154,-9.61359,-1.16337,4.22692,-4.91951,72.90262,407.85092,0.00000,577,0.69175,36.95282,26.68497,-1.25293,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_13_008_01,d01_REFL_COM_20110427-0000_12_13_008,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 13:00:00+00:00,13,13,2,-83.74293,42.77103,1392366.39914,622318.19155,27000.00000,66000.00000,40.00953,52.97609,27.40728,-3.48877,2.40538,-8.83237,0.40216,6.68815,-4.31103,68.91714,251.61014,0.00000,576,0.62204,33.57954,26.29229,-1.38313,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_13_009_00,d01_REFL_COM_20110427-0000_12_13_009,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 12:00:00+00:00,12,12,1,-83.73729,42.97358,1388584.16423,644401.82469,0.00000,0.00000,38.76815,51.33529,29.18383,-3.27826,0.77541,-7.84109,0.24078,8.64470,-3.93473,147.69214,350.98364,0.00000,401,0.93421,45.30964,16.16299,-0.69577,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_13_009_01,d01_REFL_COM_20110427-0000_12_13_009,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 13:00:00+00:00,13,13,2,-83.42179,43.53544,1401689.50664,710273.31100,3000.00000,75000.00000,38.17473,49.60764,29.53412,-3.15811,2.99191,-8.03696,-0.61638,5.59795,-5.70446,75.37151,165.93178,0.00000,440,0.85315,35.30745,18.41894,-0.89438,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_13_13_010_00,d01_REFL_COM_20110427-0000_13_13_010,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 13:00:00+00:00,13,13,1,-91.36440,34.86535,873129.28443,-337085.09166,69000.00000,21000.00000,35.86397,53.10304,0.00000,-3.66122,3.52477,-7.85212,4.92685,8.89617,-0.87033,5.74162,46.00278,0.00000,593,0.49235,37.80681,32.90688,-0.95516,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_13_13_011_00,d01_REFL_COM_20110427-0000_13_13_011,NCARSTORM,d01,2011-04-27 00:00:00+00:00,2011-04-27 13:00:00+00:00,13,13,1,-88.68954,34.59462,1118235.97916,-337501.88911,66000.00000,21000.00000,37.30147,47.68254,0.00000,-4.95528,1.91165,-10.01892,3.22595,10.36767,-7.54758,0.42964,4.42569,0.00000,832,0.62203,38.76935,30.35626,0.79202,0,0,0,0,0,0
