Step_ID,Track_ID,Ensemble_Name,Ensemble_Member,Run_Date,Valid_Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,Centroid_X,Centroid_Y,Storm_Motion_U,Storm_Motion_V,REFL_1KM_AGL_mean,REFL_1KM_AGL_max,REFL_1KM_AGL_min,U10_mean,U10_max,U10_min,V10_mean,V10_max,V10_min,MLCAPE-potential_mean,MLCAPE-potential_max,MLCAPE-potential_min,area,eccentricity,major_axis_length,minor_axis_length,orientation,Matched,Max_Hail_Size,Num_Matches,Shape,Location,Scale
d01_REFL_COM_20110428-0000_12_12_000_00,d01_REFL_COM_20110428-0000_12_12_000,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-82.65593,33.89136,1675702.49957,-321471.86763,0.00000,0.00000,35.79855,47.96048,-1.87510,2.84888,5.17227,0.94740,2.93230,5.81932,-0.76522,0.00000,0.00000,0.00000,30,0.66667,7.11539,5.30347,0.07374,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_001_00,d01_REFL_COM_20110428-0000_12_12_001,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-80.47757,36.07069,1817453.19961,-43943.17036,0.00000,0.00000,34.16996,43.38107,20.28262,1.45872,3.61102,-0.01060,3.46631,4.73712,2.29179,0.00000,0.00000,0.00000,24,0.71531,6.58452,4.60129,0.40642,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_002_00,d01_REFL_COM_20110428-0000_12_12_002,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-78.97815,36.41081,1938696.16519,23619.19900,0.00000,0.00000,42.97383,48.62747,34.51437,0.73333,1.47979,-0.03382,11.10831,12.41998,10.11747,837.55646,873.22589,785.13330,22,0.39272,5.51951,5.07607,-0.39021,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_003_00,d01_REFL_COM_20110428-0000_12_13_003,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-79.32226,36.63779,1903056.82724,40691.13292,0.00000,0.00000,39.14560,48.06076,25.11868,6.15639,9.47503,2.65367,3.73320,5.38108,2.19431,730.40735,819.21790,148.94862,40,0.84259,9.98430,5.37715,-0.60548,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_003_01,d01_REFL_COM_20110428-0000_12_13_003,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 13:00:00+00:00,13,13,2,-79.36870,36.57249,1900759.00255,32709.74260,0.00000,-9000.00000,37.70517,47.46136,18.85350,3.05849,5.55005,1.65519,3.80989,6.08323,2.01729,0.01271,0.40663,0.00000,32,0.70334,7.52755,5.35097,-0.10444,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_004_00,d01_REFL_COM_20110428-0000_12_12_004,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-79.21265,37.07339,1901063.83502,89720.47429,0.00000,0.00000,38.06609,47.43443,17.42436,4.40936,8.51972,1.60797,4.20350,8.52264,-0.16700,324.49219,805.42352,0.00000,179,0.95467,31.75591,9.45224,-0.72552,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_005_00,d01_REFL_COM_20110428-0000_12_12_005,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-78.79429,37.36523,1929044.57707,129822.67343,0.00000,0.00000,38.12787,47.44910,18.73333,3.81874,7.21093,1.66516,4.05375,7.59317,0.53237,490.77859,825.64075,0.00000,78,0.88209,14.64732,6.89999,-0.63621,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_006_00,d01_REFL_COM_20110428-0000_12_13_006,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-77.56529,38.63792,1997646.98400,292453.30184,0.00000,0.00000,40.42686,53.32891,17.11852,0.67440,7.99865,-3.74163,6.60341,13.19219,-0.28322,353.29462,566.69696,2.73685,512,0.51386,32.75712,28.10141,-0.06213,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_006_01,d01_REFL_COM_20110428-0000_12_13_006,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 13:00:00+00:00,13,13,2,-77.83326,37.92313,1995210.87745,210260.13467,-6000.00000,-84000.00000,38.19849,51.90413,0.00000,4.40071,9.89649,-0.44464,5.13909,11.80551,0.13862,353.56281,740.79840,0.00000,418,0.47067,36.63459,32.32307,1.03943,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_007_00,d01_REFL_COM_20110428-0000_12_12_007,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-78.25835,44.81183,1770741.55962,938484.76526,0.00000,0.00000,42.86012,52.72950,30.49907,-2.31864,4.72644,-7.84162,9.51379,16.61693,6.02417,35.32836,75.15857,3.85680,212,0.97063,34.80963,8.37431,-0.22415,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_008_00,d01_REFL_COM_20110428-0000_12_12_008,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-74.65632,43.90685,2072542.87247,918038.95196,0.00000,0.00000,39.00998,51.02408,26.34631,-2.94611,1.74999,-6.42038,7.17538,10.93726,2.64306,307.90625,601.30127,136.58965,356,0.94753,42.65986,13.63666,-0.55403,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_009_00,d01_REFL_COM_20110428-0000_12_12_009,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-79.45173,45.66470,1657368.72765,1007831.85538,0.00000,0.00000,39.07030,47.14510,30.62453,-6.19303,-3.22692,-8.44156,7.74675,10.17828,3.76544,10.02150,101.00743,0.00000,149,0.65627,18.64124,14.06526,0.91789,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_010_00,d01_REFL_COM_20110428-0000_12_12_010,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,12,12,1,-80.28772,46.42642,1575061.71529,1075368.35328,0.00000,0.00000,39.28736,51.93210,27.17892,-0.39575,6.62767,-6.75127,-6.17692,5.42327,-11.24192,0.88809,7.15986,0.00000,861,0.60000,38.90513,31.12406,0.75571,0,0,0,0,0,0
